continent,"AVG Percent Spent",year
NA,4.23,1970
NA,5.29,1971
NA,6.27,1972
NA,5.33,1973
NA,5.51,1974
NA,4.4,1975
NA,5.27,1976
NA,5.99,1977
NA,4.85,1978
NA,3.8,1979
NA,5.16,1980
NA,3.75,1981
NA,3.82,1982
NA,3.58,1983
NA,3.68,1984
NA,3.47,1985
NA,4.5,1986
NA,4.55,1987
NA,4.71,1988
NA,4.09,1989
NA,4.06,1990
NA,4.3,1991
NA,3.65,1992
NA,4.09,1993
NA,3.87,1994
NA,3.17,1995
NA,2.89,1996
NA,4.11,1997
NA,4.13,1998
NA,4.46,1999
NA,4.57,2000
NA,4.88,2001
NA,4.8,2002
NA,4.6,2003
NA,4.78,2004
NA,4.62,2005
NA,4.65,2006
NA,4.87,2007
NA,5.54,2008
NA,5.29,2009
NA,5.39,2010
NA,4.58,2011
NA,4.73,2012
NA,5.2,2013
NA,4.9,2014
NA,4.34,2015
NA,4.89,2016
NA,4.27,2017
NA,4.54,2018
NA,5.25,2019
SA,2.81,1970
SA,2.77,1971
SA,3.39,1972
SA,2.59,1973
SA,3.21,1974
SA,3.55,1975
SA,1.17,1976
SA,4.12,1977
SA,2.5,1978
SA,3.8,1979
SA,3.15,1980
SA,4.23,1981
SA,4.02,1982
SA,5.42,1983
SA,4.19,1984
SA,3.17,1985
SA,3.75,1986
SA,2.68,1987
SA,3.63,1988
SA,2.65,1989
SA,2.09,1990
SA,2.48,1991
SA,3.36,1992
SA,3.1,1993
SA,3.39,1994
SA,3.14,1995
SA,3.15,1996
SA,3.17,1997
SA,3.52,1998
SA,4.14,1999
SA,3.89,2000
SA,4.25,2001
SA,4.15,2002
SA,3.79,2003
SA,3.7,2004
SA,4.25,2005
SA,3.78,2006
SA,3.81,2007
SA,4.29,2008
SA,4.84,2009
SA,4.49,2010
SA,4.47,2011
SA,4.57,2012
SA,5.07,2013
SA,5.17,2014
SA,5.19,2015
SA,5.03,2016
SA,5.25,2017
SA,4.68,2018
SA,3.85,2019
EU,3.84,1970
EU,4.12,1971
EU,4.61,1972
EU,4.28,1973
EU,4.24,1974
EU,4.67,1975
EU,4.37,1976
EU,4.53,1977
EU,4.29,1978
EU,4.48,1979
EU,4.85,1980
EU,4.66,1981
EU,4.52,1982
EU,4.39,1983
EU,4.33,1984
EU,4.57,1985
EU,4.43,1986
EU,4.4,1987
EU,4.17,1988
EU,4.03,1989
EU,4.37,1990
EU,4.7,1991
EU,4.78,1992
EU,5.26,1993
EU,5.15,1994
EU,4.67,1995
EU,4.87,1996
EU,4.72,1997
EU,4.74,1998
EU,4.78,1999
EU,4.65,2000
EU,4.82,2001
EU,4.81,2002
EU,4.96,2003
EU,4.72,2004
EU,5,2005
EU,4.92,2006
EU,4.77,2007
EU,5.01,2008
EU,5.34,2009
