country_name,literacy_rate_percentage
Albania,97
"American Samoa",97
Andorra,100
"Antigua and Barbuda",99
Argentina,98
Armenia,100
Aruba,97
Australia,99
Austria,98
Azerbaijan,100
Bahamas,96
Barbados,100
Belarus,100
Belgium,99
Bermuda,98
"Bosnia and Herzegovina",98
"British Virgin Islands",98
Bulgaria,98
Canada,99
"Cayman Islands",99
Chile,99
"Costa Rica",96
Croatia,99
Cuba,100
Cyprus,99
Czechia,99
Denmark,99
Estonia,100
Finland,100
France,99
"French Polynesia",98
Georgia,100
Germany,99
Greece,97
Greenland,100
Grenada,96
Guam,99
Hungary,99
Iceland,99
Ireland,99
Israel,97
Italy,99
Japan,99
Jordan,96
Kazakhstan,100
Kyrgyzstan,99
Latvia,100
Liechtenstein,100
Lithuania,100
Luxembourg,100
Macao,96
Maldives,98
Moldova,99
Monaco,99
Mongolia,97
Montenegro,99
Montserrat,97
Netherlands,99
"New Caledonia",96
"New Zealand",99
"North Korea",100
"North Macedonia",97
"Northern Mariana Islands",97
Norway,100
Poland,100
Qatar,96
Romania,98
Russia,100
"Saint Helena",97
"Saint Kitts and Nevis",98
"Saint Pierre and Miquelon",99
"Saint Vincent and the Grenadines",96
Samoa,99
"San Marino",96
Serbia,98
Singapore,96
Slovakia,100
Slovenia,100
"South Korea",98
Spain,98
Sweden,99
Switzerland,99
Taiwan,96
Tajikistan,100
Tonga,99
"Trinidad and Tobago",99
Turkmenistan,100
"Turks and Caicos Islands",98
Ukraine,100
"United Kingdom",99
"United States",99
Uruguay,98
Uzbekistan,99
Vatican,100
Venezuela,96
