state_name,num_employed,cost_of_living
Hawaii,408102,192.9
California,13238539,151.7
"New York",6442129,139.1
Oregon,1472337,134.2
Massachusetts,2791775,131.6
Alaska,213039,129.9
Maryland,2047782,129.7
Connecticut,1340423,127.7
"New Jersey",3225574,125.1
"Rhode Island",412337,119.4
Maine,470316,117.5
Vermont,213973,114.5
Washington,2668426,110.7
"New Hampshire",556381,109.7
Nevada,1097285,108.5
Delaware,365759,108.1
Montana,355281,106.9
Colorado,2100795,105.6
Pennsylvania,4731910,101.7
Minnesota,2212894,101.6
Virginia,2833988,100.7
"South Dakota",333672,99.8
"North Dakota",288794,98.8
Utah,1244137,98.4
Florida,7612897,97.9
Wisconsin,2322482,97.3
Arizona,2702650,97
"South Carolina",1735022,95.9
"North Carolina",3653326,94.9
Illinois,4677363,94.5
Louisiana,1415896,93.9
Idaho,655235,92.3
Texas,10397304,91.5
"West Virginia",551463,91.1
Kentucky,1482614,90.9
Nebraska,769680,90.8
Ohio,4270723,90.8
Iowa,1209935,90.1
Indiana,2469842,90
Wyoming,174898,89.3
Alabama,1622053,89.3
Georgia,3718418,89.2
Kansas,1069426,89
Michigan,3577493,88.9
Tennessee,2409268,88.7
"New Mexico",576189,87.5
Missouri,2239382,87.1
Oklahoma,1289589,87
Arkansas,990280,86.9
Mississippi,894275,86.1
